Start Time, Wed Dec 3 16:52:22 GMT-0700 2025
Energy calibration,  Offset: -0.13771282136440277, Slope: 0.09197762608528137, Quadratic: 0
Live Time (s), 7.07
Real Time (s), 7.4
Elapsed Computational, 2848
Spectrum
Channel, Energy (keV), Counts
236, 21.569006934762, 3
237, 21.660984560847282, 3
238, 21.752962186932564, 6
239, 21.844939813017845, 4
240, 21.936917439103127, 2
241, 22.028895065188408, 4
242, 22.12087269127369, 4
243, 22.21285031735897, 1
244, 22.304827943444252, 4
245, 22.396805569529533, 2
246, 22.488783195614815, 5
247, 22.580760821700096, 2
248, 22.672738447785378, 3
249, 22.76471607387066, 1
250, 22.85669369995594, 4
251, 22.94867132604122, 3
252, 23.040648952126503, 3
253, 23.132626578211784, 2
254, 23.224604204297066, 5
255, 23.316581830382347, 5
256, 23.40855945646763, 4
257, 23.50053708255291, 2
258, 23.59251470863819, 5
259, 23.684492334723473, 2
260, 23.776469960808754, 5
261, 23.868447586894035, 4
262, 23.960425212979317, 3
263, 24.052402839064598, 5
264, 24.14438046514988, 5
265, 24.23635809123516, 5
266, 24.328335717320442, 5
267, 24.420313343405724, 6
268, 24.512290969491005, 2
269, 24.604268595576286, 8
270, 24.696246221661568, 5
271, 24.78822384774685, 2
272, 24.88020147383213, 3
273, 24.972179099917412, 4
274, 25.064156726002693, 5
275, 25.156134352087975, 4
276, 25.248111978173256, 3
277, 25.340089604258537, 3
278, 25.43206723034382, 4
279, 25.5240448564291, 2
280, 25.61602248251438, 4
281, 25.708000108599663, 5
282, 25.799977734684944, 2
283, 25.891955360770226, 4
284, 25.983932986855507, 1
285, 26.07591061294079, 1
286, 26.16788823902607, 3
287, 26.25986586511135, 5
288, 26.351843491196632, 5
289, 26.443821117281914, 6
290, 26.535798743367195, 4
291, 26.627776369452477, 0
292, 26.719753995537758, 2
293, 26.81173162162304, 4
294, 26.90370924770832, 3
295, 26.995686873793602, 6
296, 27.087664499878883, 6
297, 27.179642125964165, 2
298, 27.271619752049446, 4
